countryID,medelID,grothID,CountrySizeID,GDP(pc),wealthID,numberofhost,medel for strongest sport,2021 gode medel,GDPgrowth(pc),Average Athlete Medals,Average Team Medals,AthleteteamID
100,3,2,2,6224.440302090821,3,2,128,1,-6.841544703,6.0638297872340425,2.8666666666666667,1
101,3,2,2,20961.92096953337,2,2,75,3,-3.086282111,5.911111111111111,3.317073170731707,1
102,3,2,2,1315.7951059912696,3,0,0,0,-0.970941437,0.0,0.0,0
103,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
104,3,2,2,457.3122554197337,3,0,0,0,-3.103558017,0.0,0.0,0
105,3,2,2,6232.294443111803,3,1,8,3,-0.240923959,2.5714285714285716,2.2857142857142856,1
106,3,3,2,0.0,3,0,0,0,0.0,0.0,0.0,0
107,3,2,2,1700.2971658466752,3,0,1,0,-2.148477897,0.0,1.0,2
108,3,2,2,106.33760156550132,3,0,6,0,-10.12044553,2.3333333333333335,0.0,1
109,3,2,2,2317.933275914599,3,0,71,3,-3.380400724,9.666666666666666,3.3636363636363638,1
110,3,3,2,7443.12364284,3,0,1,0,0.0,1.0,0.0,1
111,3,2,2,437.2003842949321,3,0,0,0,-8.061580857,0.0,0.0,0
112,3,2,2,195.56710149073467,3,0,0,0,-8.400600152,0.0,0.0,0
113,3,2,2,13317.98079716036,2,0,3,0,-3.600848086,1.0,1.0,0
114,3,2,2,18571.689305406842,2,0,38,4,-2.280015264,4.214285714285714,4.423076923076923,2
115,3,2,2,165.90723095873486,3,0,0,0,-1.624775579,0.0,0.0,0
116,3,2,2,4424.327441745353,3,0,20,1,-3.419117124,2.6666666666666665,2.142857142857143,1
117,3,2,2,14068.094253100397,3,1,114,0,-2.495122968,7.86,2.5526315789473686,1
118,3,2,2,100.70947599733046,3,0,0,0,-4.933202273,0.0,0.0,0
119,3,2,2,23914.375599550498,2,2,135,5,-1.857696109,9.369565217391305,3.761904761904762,1
120,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
121,3,2,2,10931.170017470731,3,0,42,9,-2.820322501,3.8333333333333335,5.4,2
122,3,2,2,2031.873584276579,3,0,4,0,-4.994101584,1.3333333333333333,0.0,1
