countryID,medelID,grothID,CountrySizeID,GDP(pc),wealthID,numberofhost,medel for strongest sport,2021 gode medel,GDPgrowth(pc),Average Athlete Medals,Average Team Medals,AthleteteamID
99,3,2,2,493.4322524,3,0,0,0,-4.196551048,0.0,0.0,0
100,3,2,2,48809.22688,3,2,128,1,-6.841544703,6.0638297872340425,2.8666666666666667,1
101,3,2,2,85656.32267,2,2,75,3,-3.086282111,5.911111111111111,3.317073170731707,1
102,3,2,2,2593.355097,3,0,0,0,-0.970941437,0.0,0.0,0
103,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
104,3,2,2,1876.607372,3,0,0,0,-3.103558017,0.0,0.0,0
105,3,2,2,7733.803494,3,1,8,3,-0.240923959,2.5714285714285716,2.2857142857142856,1
106,3,3,2,0.0,3,0,0,0,0.0,0.0,0.0,0
107,3,2,2,5353.348045,3,0,1,0,-2.148477897,0.0,1.0,2
108,3,2,2,1182.521506,3,0,6,0,-10.12044553,2.3333333333333335,0.0,1
109,3,2,2,10153.4766,3,0,71,3,-3.380400724,9.666666666666666,3.3636363636363638,1
110,3,3,2,7297.180042,3,0,1,0,0.0,1.0,0.0,1
111,3,2,2,3961.726633,3,0,0,0,-8.061580857,0.0,0.0,0
112,3,2,2,1838.448124,3,0,0,0,-8.400600152,0.0,0.0,0
113,3,2,2,61274.00646,2,0,3,0,-3.600848086,1.0,1.0,0
114,3,2,2,60915.4244,2,0,38,4,-2.280015264,4.214285714285714,4.423076923076923,2
115,3,2,2,435.4692482,3,0,0,0,-1.624775579,0.0,0.0,0
116,3,2,2,19551.62116,3,0,20,1,-3.419117124,2.6666666666666665,2.142857142857143,1
117,3,2,2,49169.71934,3,1,114,0,-2.495122968,7.86,2.5526315789473686,1
118,3,2,2,597.5296919,3,0,0,0,-4.933202273,0.0,0.0,0
119,3,2,2,68340.0181,2,2,135,5,-1.857696109,9.369565217391305,3.761904761904762,1
120,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
121,3,2,2,41760.59478,3,0,42,9,-2.820322501,3.8333333333333335,5.4,2
122,3,2,2,12179.25667,3,0,4,0,-4.994101584,1.3333333333333333,0.0,1
123,3,2,2,5599.957523,3,0,3,0,-19.74842848,1.3333333333333333,0.0,1
124,3,1,2,85420.19086,2,0,18,3,5.097385401,2.2142857142857144,2.3333333333333335,2
125,3,2,2,1868.468248,3,0,0,0,-3.465477977,0.0,0.0,0
126,3,2,2,16707.62301,3,0,0,0,-2.11716851,0.0,0.0,0
127,3,2,2,13293.33321,3,0,3,0,-18.85438221,1.5,0.0,1
128,3,2,2,24297.70114,3,0,3,0,-7.169356849,1.0,0.0,1
129,3,2,2,14236.53525,3,0,10,5,-8.183444642,3.1818181818181817,3.5714285714285716,2
130,3,3,3,0.0,3,0,1,0,0.0,1.0,0.0,1
131,3,2,2,4255.742993,3,0,19,2,-6.824432632,5.714285714285714,0.0,1
132,3,2,2,4041.174145,3,0,11,0,-6.351240603,2.5,0.0,1
133,3,2,2,15650.49943,3,0,6,0,-6.281483198,1.0,1.6,2
134,3,2,3,4376.242493,3,0,3,0,-7.263269768,1.25,2.0,2
135,3,3,2,0.0,3,0,6,1,0.0,1.25,0.0,1
136,3,2,2,6095.102479,3,0,0,0,-1.778703887,0.0,0.0,0
137,3,2,3,704.0304578,3,0,0,0,-1.953083669,0.0,0.0,0
138,3,2,3,5343.037704,3,0,0,0,-2.745238678,0.0,0.0,0
139,3,2,3,4897.26477,3,0,85,4,-10.1128523,4.125,2.0,1
140,3,2,3,4505.867746,3,0,9,0,-6.704049318,3.0,0.0,1
141,3,2,3,52315.66008,3,0,4,2,-2.005009486,1.4,2.0,2
142,3,2,3,5875.070606,3,0,2,0,-10.40331706,1.0,1.0,0
143,3,2,3,20363.92441,3,0,6,0,-0.048831011,2.7142857142857144,2.75,2
144,3,2,3,4252.041807,3,0,5,0,-9.66882124,1.6666666666666667,0.0,1
145,3,2,3,6680.08267,3,0,1,0,-3.969558634,1.0,0.0,1
146,3,2,3,939.5042491,3,0,0,0,-6.808444709,0.0,0.0,0
147,3,2,3,710.258133,3,0,0,0,-4.596719957,0.0,0.0,0
148,3,2,3,25545.241,3,0,9,3,-4.960040833,3.6666666666666665,2.0,1
149,3,2,3,5965.450232,3,0,1,0,-5.922295863,1.0,0.0,1
150,3,2,3,18207.13964,3,0,7,1,-1.514811398,1.8333333333333333,2.3333333333333335,2
151,3,2,3,6327.598962,3,0,0,0,-6.822442154,0.0,0.0,0
152,3,2,3,13871.79822,3,0,15,0,-7.568382946,1.5,1.3333333333333333,1
153,3,2,3,23433.18724,3,0,4,0,-3.565598605,1.3333333333333333,0.0,1
154,3,1,3,1660.308309,3,0,0,0,29.92997972,0.0,0.0,0
155,3,2,3,23595.24368,3,0,11,1,-0.747277944,2.7857142857142856,1.4,1
156,3,2,3,9005.462022,3,0,1,0,-14.59935427,1.0,0.0,1
157,3,2,3,28035.98438,3,0,1,0,-5.450317794,1.0,0.0,1
158,3,2,3,3372.904639,3,0,0,0,-2.480299705,0.0,0.0,0
159,3,2,3,2917.996281,3,0,1,0,-0.298338539,1.0,0.0,1
160,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
161,3,2,3,4864.106008,3,0,2,1,-17.17670889,0.0,1.5,2
162,3,2,3,1519.58678,3,0,0,0,-2.074861396,0.0,0.0,0
163,3,1,3,6863.074346,3,0,1,0,43.75870325,1.0,0.0,1
164,3,2,3,3009.925516,3,0,0,0,-10.59763139,0.0,0.0,0
165,3,2,3,2222.462143,3,0,0,0,-5.645371054,0.0,0.0,0
166,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
167,3,2,3,117370.4969,2,0,2,0,-2.436809269,1.25,0.0,1
168,3,2,3,4796.533314,3,0,2,0,-16.91141207,1.0,0.0,1
169,3,2,3,7677.369141,3,0,1,0,-15.20847458,0.0,1.0,2
170,3,2,3,3223.735602,3,0,0,0,-20.07982255,0.0,0.0,0
171,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
172,3,2,3,29196.97775,3,0,0,0,-10.61108026,0.0,0.0,0
173,3,2,3,7282.372916,3,0,0,0,-34.77655892,0.0,0.0,0
174,3,1,3,27179.34442,3,0,0,0,0.291718917,0.0,0.0,0
175,3,2,3,5266.87616,3,0,0,0,-14.68046614,0.0,0.0,0
176,3,2,3,23998.26802,3,0,14,2,-23.86836277,1.3333333333333333,1.4285714285714286,2
177,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
178,3,2,3,58813.79698,3,0,2,0,-8.73526415,1.0,1.0,0
179,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
180,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
181,3,2,3,2917.756849,3,0,0,0,-7.211878534,0.0,0.0,0
182,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
183,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
184,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
185,3,2,3,16643.80658,3,0,1,0,-13.46945599,1.0,0.0,1
186,3,1,3,2161.310201,3,0,0,0,1.119960636,0.0,0.0,0
187,3,2,3,4042.722715,3,0,1,0,-4.471685199,1.0,0.0,1
188,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
189,3,2,3,8458.075063,3,0,0,0,-24.64168662,0.0,0.0,0
190,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
191,3,2,3,1403.993738,3,0,0,0,-3.38537208,0.0,0.0,0
192,3,2,3,8437.536782,3,0,3,0,-14.41148694,1.0,0.0,1
193,3,2,3,3639.412699,3,0,0,0,-2.402459942,0.0,0.0,0
194,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
195,3,1,3,4605.970878,3,0,1,0,0.19936359,1.0,0.0,1
196,3,2,3,12020.02191,3,0,0,0,-9.425755928,0.0,0.0,0
197,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
198,3,2,3,8306.367581,3,0,0,0,-3.470755412,0.0,0.0,0
199,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
200,3,2,3,15284.77238,3,0,0,0,-17.98917356,0.0,0.0,0
201,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
202,3,2,3,37207.222,3,0,0,0,-12.73507756,0.0,0.0,0
203,3,2,3,7003.469891,3,0,0,0,-17.26169347,0.0,0.0,0
204,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
205,3,3,3,0.0,3,0,1,1,0.0,1.0,0.0,1
206,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
207,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
208,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
209,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
210,3,2,3,18566.01785,3,0,0,0,-14.40495012,0.0,0.0,0
211,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
212,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
213,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
214,3,1,3,5567.972727,3,0,0,0,1.131667361,0.0,0.0,0
215,3,3,3,0.0,3,0,10,0,0.0,2.0,0.0,1
216,3,2,3,182537.3046,1,0,0,0,-12.70112125,0.0,0.0,0
217,3,2,3,45321.48922,3,0,3,0,-6.178501365,2.0,2.0,0
218,3,3,3,0.0,3,0,0,0,0.0,0.0,0.0,0
