countryID,health expenditure(GPT%),HealthcostID,InternetID,Average Annual Growth Rate (%),Healthdifference,depress change around 2002,medelID,hostID,GDP(pc)
22,12.20504951,2,3,0.5184099279618211,2548.321912,2.5981380947477266,3,1,39055.28293
23,8.58329773,2,3,1.428213130182701,125.09312489999999,-1.9990087639600205,3,0,5741.641249
24,9.63378334,2,3,0.23402258615180838,1594.3625276,-1.5597617001543966,3,1,31918.69349
25,4.29190731,3,3,2.5485680818665823,10.58689648,-1.1306544389249495,3,0,1936.250752
26,4.62411975,3,3,0.7753881037548388,-44.89224874,-0.4337126656267145,3,0,1477.452905
27,8.99294186,2,3,1.268494396056808,216.2962811,4.188648237916215,3,0,5304.289129
28,8.36409569,2,3,0.4901696930364069,582.0290930000001,2.200295626532011,3,1,31721.29802
29,3.96206594,3,3,3.232180137463179,-8.46428999,-0.7386124462647103,3,0,846.8811992
30,3.01747656,3,3,1.9198866668951666,-5.790212400000001,12.130065456876537,3,0,608.3325195
31,10.71374989,2,3,0.7812101065262186,1349.4977752,1.5675471946296256,3,1,26959.67544
32,5.08489752,3,3,2.598052061879137,20.310077140000004,-2.487661298224374,3,0,4251.337253
33,6.32117987,3,3,1.8315186282474698,54.16775725000001,-5.84975025887735,3,0,3354.157303
34,9.98438072,2,3,1.0565715207805826,283.5104452,0.11704746586059755,3,0,8496.428157
35,15.53361392,1,3,3.271131968585689,-55.073679479999996,,3,0,516.8667974
36,6.49310207,3,3,-0.03997757294587993,449.8865054,-3.058908066553954,3,0,15816.8204
37,12.93967533,2,3,1.0781040985639492,2806.1412649999997,-5.193373848460759,3,1,43349.67786
38,5.99316072,3,3,1.206905364097282,-20.322489669999996,-1.2825615644219823,3,0,3258.10498
39,7.61658287,2,3,-0.7965372260120811,-3.851643199999984,-2.1343244296947574,3,0,3751.737305
40,2.91183472,3,3,3.6267276136548032,-5.944412,0.07217397465508668,3,0,1502.950754
41,0.0,3,3,2.8262009330851496,0.0,1.1855953086253876,3,0,0.0
42,6.74741459,3,3,1.6419304135774078,-9.2027359,-7.010384557685699,3,0,1759.307471
43,0.0,3,3,2.802101163317347,0.0,3.214255409309061,3,0,0.0
44,7.61939621,2,3,2.867735473433046,5.344002669999999,1.6047404401839263,3,0,454.0623643
45,3.99029994,3,3,2.4671971170776836,7.348069330000001,-13.254626537161254,3,0,2176.576218
46,6.30416107,3,3,1.2784525934206843,140.05680690000003,-2.522240218830163,3,0,6063.62658
47,4.12441826,3,3,1.629606988368641,23.1070273,10.87746605320773,3,0,10160.82935
48,5.17351818,3,3,0.8957536627405842,-17.110880419999997,4.182814039855302,3,0,1139.189892
49,3.87958431,3,3,3.025433063459168,-0.7406867100000003,7.43619176357879,3,0,462.4042288
50,3.72245775,3,3,2.599981135671754,-11.022185760000003,3.755437040084264,3,0,2349.069882
51,3.81606245,3,3,0.6997754047227802,-17.133197410000008,1.1752251442211517,3,0,0.0
52,3.76582599,3,3,2.722086860669628,-32.19837219,7.741919181178972,3,0,1539.130547
53,6.20069504,3,3,3.8680219012567667,-3.0723679599999993,-0.5523724081606183,3,0,564.8219973
54,10.6489954,2,3,1.4711756255725645,2960.954912,6.920704206419046,3,1,51722.069
55,0.0,3,3,,0.0,-1.9327946040118889,3,0,0.0
56,0.0,3,3,,0.0,29.31030587794713,3,0,0.0
57,4.3081193,3,3,3.2312974863531934,1.527379960000001,4.251002015539251,3,0,822.9061375
58,0.0,3,3,,0.0,1.7174220445465878,3,0,0.0
59,6.71932602,3,3,3.0187550337150033,2.749027469999998,13.165652789104485,3,0,833.2443361
60,4.06584978,3,3,0.7765643104021971,-9.978711590000003,-7.455968319534623,3,0,3852.389968
61,5.43400049,3,3,2.777170270719576,2.8834310400000014,-0.44116977631806087,3,0,622.1845914
62,5.61788416,3,3,3.2985085556565052,15.616648040000001,-0.07730802227913358,3,0,956.8317475
63,3.78894091,3,3,1.2029980828875104,110.3826876,1.4974419573544289,3,0,9121.636402
64,9.75300503,2,3,1.1954822237625347,163.52642949999995,-2.3893138657224178,3,0,13165.38634
65,6.27236223,3,3,-0.7448020755112037,488.24584699999997,0.7093143926914394,3,0,13047.45768
66,5.40748835,3,3,3.437571184127467,-15.364730989999998,-1.552272631858398,3,0,643.7722162
